food_item,ingredients
apple_pie,"apples, sugar, flour, butter, cinnamon, dairy"
baby_back_ribs,"pork ribs, barbecue sauce, salt, pepper, garlic powder"
baklava,"phyllo dough, walnuts, butter, sugar, cinnamon, dairy"
beef_carpaccio,"beef tenderloin, olive oil, lemon, Parmesan cheese, arugula, dairy"
beef_tartare,"beef tenderloin, egg yolk, mustard, capers, shallots,egg"
beet_salad,"beets, arugula, goat cheese, walnuts, balsamic vinegar, dairy"
beignets,"flour, sugar, milk, eggs, yeast, dairy"
bibimbap,"rice, beef, vegetables,carrots, spinach, bean sprouts, mushrooms, gochujang (Korean chili paste)"
bread_pudding,"bread, milk, eggs, sugar, cinnamon, dairy"
breakfast_burrito,"tortilla, eggs, bacon, potatoes, cheese, dairy"
bruschetta,"bread, tomatoes, garlic, basil, olive oil"
caesar_salad,"romaine lettuce, croutons, Parmesan cheese, Caesar dressing,  dairy"
cannoli,"ricotta cheese, sugar, cinnamon, pistachios, chocolate chips,  dairy"
caprese_salad,"tomatoes, mozzarella cheese, basil, olive oil, balsamic vinegar,  dairy"
carrot_cake,"carrots, flour, sugar, eggs, cinnamon"
ceviche,"fish (typically white fish or shrimp), lime juice, onions, cilantro, peppers"
cheese_plate,"assorted cheeses, crackers, grapes, nuts,   dairy"
cheesecake,"cream cheese, sugar, eggs, graham cracker crust,  dairy"
chicken_curry,"chicken, curry paste, coconut milk, vegetables ,bell peppers, onions, carrots"
chicken_quesadilla,"chicken, cheese, tortilla, bell peppers, onions,  dairy"
chicken_wings,"chicken wings, hot sauce, butter, celery, blue cheese dressing,   dairy"
chocolate_cake,"flour, sugar, cocoa powder, eggs, butter,  dairy"
chocolate_mousse,"chocolate, cream, sugar, eggs,  dairy"
churros,"flour, water, sugar, cinnamon"
clam_chowder,"clams, potatoes, onions, celery, cream,  dairy"
club_sandwich,"bread, turkey, bacon, lettuce, tomato, mayo,  dairy"
crab_cakes,"crab meat, breadcrumbs, mayo, mustard, Worcestershire sauce"
creme_brulee,"cream, sugar, egg yolks, vanilla, dairy"
croque_madame,"bread, ham, cheese, bechamel sauce, egg, dairy"
cup_cakes,"flour, sugar, butter, eggs, milk, dairy"
deviled_eggs,"eggs, mayo, mustard, paprika"
donuts,"flour, sugar, yeast, milk, eggs, dairy"
dumplings,"dough, flour, water, filling,meat, vegetables, seasonings"
edamame,"edamame beans, salt"
eggs_benedict,"English muffin, poached egg, Canadian bacon, hollandaise sauce"
escargots,"snails, garlic butter, parsley, dairy"
falafel,"chickpeas, herbs, spices"
filet_mignon,"beef tenderloin, butter, garlic, thyme, dairy"
fish_and_chips,"fish fillets, potatoes, flour, beer"
foie_gras,"duck or goose liver, salt, pepper"
french_fries,"potatoes, salt"
french_onion_soup,"onions, beef broth, bread, cheese, dairy"
french_toast,"bread, eggs, milk, cinnamon, dairy"
fried_calamari,"squid rings, flour, breadcrumbs, marinara sauce"
fried_rice,"rice, eggs, vegetables, soy sauce"
frozen_yogurt,"yogurt, sugar, fruit, dairy"
garlic_bread,"bread, garlic, butter, parsley, dairy"
gnocchi,"potatoes, flour, eggs"
greek_salad,"tomatoes, cucumbers, feta cheese, olives, olive oil, dairy"
grilled_cheese_sandwich,"bread, cheese, butter, dairy"
grilled_salmon,"salmon fillet, lemon, olive oil, herbs"
guacamole,"avocados, tomatoes, onions, lime juice, cilantro"
gyoza,"ground pork, cabbage, garlic, ginger, soy sauce"
hamburger,"ground beef, bun, lettuce, tomato, cheese"
hot_and_sour_soup,"mushrooms, tofu, bamboo shoots, eggs, vinegar"
hot_dog,"hot dog sausage, bun, mustard, ketchup"
huevos_rancheros,"eggs, tortillas, beans, salsa, avocado"
hummus,"chickpeas, tahini, lemon juice, garlic"
ice_cream,"cream, sugar, eggs, flavorings,vanilla, chocolate, etc., dairy"
lasagna,"pasta, ground beef, tomato sauce, ricotta cheese, mozzarella cheese, dairy"
lobster_bisque,"lobster, cream, butter, onions, sherry, dairy"
lobster_roll_sandwich,"lobster meat, mayo, lemon juice, celery, buttered roll, dairy"
macaroni_and_cheese,"macaroni pasta, cheese, milk, butter, dairy"
macarons,"almond flour, sugar, egg whites, buttercream filling, dairy"
miso_soup,"miso paste, tofu, seaweed, green onions"
mussels,"mussels, garlic, white wine, butter, parsley"
nachos,"tortilla chips, cheese, salsa, sour cream, jalapenos, dairy"
omelette,"eggs, cheese, vegetables ,onions, peppers, mushrooms, dairy"
onion_rings,"onions, flour, breadcrumbs, eggs"
oysters,"oysters, lemon, cocktail sauce, crackers"
pad_thai,"rice noodles, shrimp, tofu, eggs, peanuts, tamarind sauce"
paella,"rice, chicken, seafood ,shrimp, mussels, clams, saffron"
pancakes,"flour, milk, eggs, butter, syrup, dairy"
panna_cotta,"cream, sugar, gelatin, vanilla, dairy"
peking_duck,"duck, pancakes, hoisin sauce, cucumber, green onions"
pho,"beef broth, rice noodles, beef slices, herbs, bean sprouts"
pizza,"dough, tomato sauce, cheese, toppings (pepperoni, mushrooms, etc.), dairy"
pork_chop,"pork chops, salt, pepper, oil"
poutine,"french fries, cheese curds, gravy, dairy"
prime_rib,"beef rib roast, salt, pepper, herbs"
pulled_pork_sandwich,"pork shoulder, barbecue sauce, buns, coleslaw"
ramen,"noodles, broth, pork slices, eggs, green onions"
ravioli,"pasta dough, cheese, meat filling, sauce,  dairy"
red_velvet_cake,"flour, sugar, cocoa powder, buttermilk, cream cheese, frosting, dairy"
risotto,"arborio rice, broth, butter, Parmesan cheese, dairy"
samosa,"pastry dough, potatoes, peas, spices"
sashimi,"raw fish slices (typically tuna, salmon),fish,tuna,salmon"
scallops,"scallops, butter, garlic, lemon, dairy"
seaweed_salad,"seaweed, sesame oil, soy sauce, sesame seeds"
shrimp_and_grits,"shrimp, grits, cheese, bacon, green onions, dairy"
shrimp_tacos,"shrimp, tortillas, cabbage, avocado, salsa"
spaghetti_bolognese,"spaghetti, ground beef, tomato sauce, onions, garlic"
spaghetti_carbonara,"spaghetti, eggs, bacon, Parmesan cheese, black pepper, dairy"
spring_rolls,"rice paper, shrimp, vermicelli noodles, vegetables, peanut sauce"
steak,"steak (various cuts), salt, pepper, butter, dairy"
strawberry_shortcake,"strawberries, shortcake biscuits, whipped cream, dairy"
sushi,"rice, fish,fish (various types), seaweed, soy sauce, wasabi"
tacos,"tortillas, ground beef or chicken, cheese, lettuce, salsa"
takoyaki,"batter, flour, eggs, dashi, octopus, bonito flakes, takoyaki sauce"
tiramisu,"ladyfingers, coffee, mascarpone cheese, cocoa powder, rum, dairy"
tuna_tartare,"tuna, soy sauce, sesame oil, avocado, sesame seeds"
